Phi (deg),Theta (deg),Freq (GHz),Gain (dB),S21 (dB)
7,90,15.44,14.974,-31.34
7,90,15.6,14.65,-31.98
7,90,15.76,14.652,-32.54
7,90,15.92,14.608,-32.57
7,90,16.08,14.548,-32.91
7,90,16.24,14.396,-33.73
7,90,16.4,14.04,-35.77
7,90,16.56,13.932,-35
7,90,16.72,13.102,-36.38
7,90,16.88,12.346,-38.12
7,90,17.04,12.414,-38.84
7,90,17.2,11.93,-40.5
7,90,17.36,11.404,-41.24
7,90,17.52,11.554,-40.98
7,90,17.68,11.608,-41.47
7,90,17.84,12.432,-40.48
7,90,18,13.14,-39.67
8,90,2,8.08,-13.71
8,90,2.16,9.072,-14.34
8,90,2.32,8.694,-16.96
8,90,2.48,9.186,-18.06
8,90,2.64,8.722,-19.99
8,90,2.8,9.17,-17.89
8,90,2.96,9.942,-18.37
8,90,3.12,10.124,-18.11
8,90,3.28,9.748,-20.27
8,90,3.44,10.538,-18.11
