Phi (deg),Theta (deg),Freq (GHz),Gain (dB),S21 (dB)
0,3,17.68,-18.192,-71.27
0,3,17.84,-16.998,-69.91
0,3,18,-30.87,-83.68
0,4,2,-4.81,-26.6
0,4,2.16,-7.328,-30.74
0,4,2.32,-8.376,-34.03
0,4,2.48,-10.874,-38.12
0,4,2.64,-13.298,-42.01
0,4,2.8,-24.95,-52.01
0,4,2.96,-7.698,-36.01
0,4,3.12,-9.446,-37.68
0,4,3.28,-6.152,-36.17
0,4,3.44,-4.082,-32.73
0,4,3.6,-6.9,-34.35
0,4,3.76,-10.714,-40.2
0,4,3.92,-11.912,-39.46
0,4,4.08,-11.762,-39.43
0,4,4.24,-12.726,-41.75
0,4,4.4,-10.9,-40.71
0,4,4.56,-15.916,-45.73
0,4,4.72,-17.724,-47.71
0,4,4.88,-13.46,-43.59
0,4,5.04,-11.87,-41.92
0,4,5.2,-9.02,-40.44
0,4,5.36,-6.45,-37.25
0,4,5.52,-6.178,-36.46
0,4,5.68,-5,-36.37
0,4,5.84,-7.292,-38.74
0,4,6,-10.24,-41.78
0,4,6.16,-10.61,-42.65
0,4,6.32,-18.028,-51.52
0,4,6.48,-20.016,-54.1
0,4,6.64,-19.668,-54.06
0,4,6.8,-34.16,-67.66
0,4,6.96,-15.932,-50.26
0,4,7.12,-12.276,-46.87
0,4,7.28,-9.062,-43.44
0,4,7.44,-10.016,-44.35
0,4,7.6,-8.27,-41.67
0,4,7.76,-6.678,-41.9
0,4,7.92,-7.402,-42.03
0,4,8.08,-9.42599999999999,-44.23
0,4,8.24,-14.002,-49.11
0,4,8.4,-20.73,-56.11
0,4,8.56,-20.872,-57.15
0,4,8.72,-18.198,-55.5
0,4,8.88,-21.518,-58.66
0,4,9.04,-20.114,-57.9
0,4,9.2,-17.71,-56.57
0,4,9.36,-13.864,-51.93
0,4,9.52,-12.302,-50.68
0,4,9.68,-11.62,-50.51
0,4,9.84,-9.456,-48.57
0,4,10,-9.11,-48.18
0,4,10.16,-11.958,-51.6
0,4,10.32,-11.542,-51.17
0,4,10.48,-13.858,-53.39
0,4,10.64,-17.928,-57.94
0,4,10.8,-14.84,-55.11
0,4,10.96,-13.746,-53.73
0,4,11.12,-16.236,-56.48
0,4,11.28,-22.886,-63.33
0,4,11.44,-25.902,-66.65
0,4,11.6,-18.38,-59.25
0,4,11.76,-12.424,-53.54
